任务类型,任务名称,step,Qwen3.8-max_SR,Qwen3.8-max_SR,Qwen3.8-max_SR,Qwen-3.8max-avg,Qwen-3.8max-统计误差,Opus-5,Opus-5,Opus-5,Opus-5-avg,Opus-5-统计误差,GPT-5.6-sol,GPT-5.6-sol,GPT-5.6-sol,GPT-5.6-sol-avg,GPT-5.6-sol-统计误差,GPT-5.6-terra_SR,GPT-5.6-terra_SR,GPT-5.6-terra_SR,GPT-5.6-terra-avg,GPT-5.6-terra-统计误差,Doubao-seed-2.1-turbo_SR,Doubao-seed-2.1-turbo_SR,Doubao-seed-2.1-turbo_SR,Doubao-seed-2.1-turbo_avg,Doubao-seed-2.1-turbo_统计误差,Gemini-3.6-flash_SR,Gemini-3.6-flash_SR,Gemini-3.6-flash_SR,Gemini-3.6-flash_avg,Gemini-3.6-flash_统计误差,GPT-5.6-luna_SR,GPT-5.6-luna_SR,GPT-5.6-luna_SR,GPT-5.6-luna_avg,GPT-5.6-luna_统计误差,sonnet-5,sonnet-5,sonnet-5,sonnet-5-avg,sonnet-5-统计误差,Qwen3.7-max_SR,Qwen3.7-max_SR,Qwen3.7-max_SR,Qwen3.7-max_avg,Qwen3.7-max_统计误差,Qwen3.7-plus_SR,Qwen3.7-plus_SR,Qwen3.7-plus_SR,Qwen3.7-plus_avg,Qwen3.7-plus_统计误差,MiniMax-M3_SR,MiniMax-M3_SR,MiniMax-M3_SR,MiniMax-M3_avg,MiniMax-M3_统计误差,mimo-v2.5_SR,mimo-v2.5_SR,mimo-v2.5_SR,mimo-v2.5_avg,mimo-v2.5_统计误差
单臂任务,beat_block_hammer_right,100,0.00%,5.00%,5.00%,3.33%,2.89%,5.00%,10.00%,10.00%,8.33%,2.89%,15.00%,10.00%,20.00%,15.00%,5.00%,10.00%,5.00%,5.00%,6.67%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,click_bell_right,50,80.00%,70.00%,70.00%,73.33%,5.77%,60.00%,85.00%,60.00%,68.33%,14.43%,80.00%,50.00%,65.00%,65.00%,15.00%,0.00%,5.00%,0.00%,1.67%,2.89%,0.00%,10.00%,10.00%,6.67%,5.77%,15.00%,10.00%,15.00%,13.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,15.00%,10.00%,11.67%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,grasp_pen_leaning_cube,50,65.00%,60.00%,60.00%,61.67%,2.89%,40.00%,35.00%,30.00%,35.00%,5.00%,25.00%,60.00%,50.00%,45.00%,18.03%,25.00%,30.00%,20.00%,25.00%,5.00%,5.00%,10.00%,5.00%,6.67%,2.89%,15.00%,5.00%,10.00%,10.00%,5.00%,20.00%,20.00%,15.00%,18.33%,2.89%,0.00%,0.00%,15.00%,5.00%,8.66%,0.00%,0.00%,5.00%,1.67%,2.89%,5.00%,0.00%,5.00%,3.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,grasp_single_bottle,50,95.00%,90.00%,90.00%,91.67%,2.89%,75.00%,75.00%,75.00%,75.00%,0.00%,90.00%,70.00%,70.00%,76.67%,11.55%,55.00%,45.00%,55.00%,51.67%,5.77%,85.00%,90.00%,85.00%,86.67%,2.89%,40.00%,40.00%,35.00%,38.33%,2.89%,0.00%,0.00%,10.00%,3.33%,5.77%,30.00%,40.00%,30.00%,33.33%,5.77%,0.00%,5.00%,0.00%,1.67%,2.89%,20.00%,20.00%,15.00%,18.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,grasp_single_bottle_upright,50,70.00%,65.00%,60.00%,65.00%,5.00%,60.00%,85.00%,90.00%,78.33%,16.07%,80.00%,70.00%,60.00%,70.00%,10.00%,65.00%,70.00%,70.00%,68.33%,2.89%,50.00%,45.00%,50.00%,48.33%,2.89%,75.00%,80.00%,80.00%,78.33%,2.89%,90.00%,80.00%,90.00%,86.67%,5.77%,40.00%,50.00%,30.00%,40.00%,10.00%,85.00%,75.00%,70.00%,76.67%,7.64%,75.00%,80.00%,75.00%,76.67%,2.89%,45.00%,50.00%,45.00%,46.67%,2.89%,50.00%,30.00%,45.00%,41.67%,10.41%
,grasp_single_cube,50,95.00%,80.00%,75.00%,83.33%,10.41%,90.00%,90.00%,70.00%,83.33%,11.55%,95.00%,60.00%,75.00%,76.67%,17.56%,35.00%,25.00%,35.00%,31.67%,5.77%,15.00%,10.00%,5.00%,10.00%,5.00%,5.00%,10.00%,10.00%,8.33%,2.89%,15.00%,10.00%,20.00%,15.00%,5.00%,15.00%,20.00%,15.00%,16.67%,2.89%,20.00%,30.00%,10.00%,20.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.00%,15.00%,5.00%,10.00%,5.00%,0.00%,15.00%,0.00%,5.00%,8.66%
,grasp_single_pen,50,80.00%,95.00%,100.00%,91.67%,10.41%,80.00%,60.00%,50.00%,63.33%,15.28%,35.00%,10.00%,40.00%,28.33%,16.07%,55.00%,40.00%,50.00%,48.33%,7.64%,35.00%,15.00%,30.00%,26.67%,10.41%,30.00%,15.00%,25.00%,23.33%,7.64%,10.00%,5.00%,10.00%,8.33%,2.89%,0.00%,0.00%,5.00%,1.67%,2.89%,10.00%,15.00%,15.00%,13.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,place_cube_in_bowl,50,85.00%,80.00%,80.00%,81.67%,2.89%,100.00%,85.00%,80.00%,88.33%,10.41%,95.00%,75.00%,85.00%,85.00%,10.00%,15.00%,20.00%,20.00%,18.33%,2.89%,0.00%,15.00%,5.00%,6.67%,7.64%,0.00%,5.00%,10.00%,5.00%,5.00%,0.00%,15.00%,5.00%,6.67%,7.64%,10.00%,15.00%,10.00%,11.67%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,1.67%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,place_cube_on_cube,200,95.00%,80.00%,85.00%,86.67%,7.64%,80.00%,75.00%,80.00%,78.33%,2.89%,100.00%,90.00%,75.00%,88.33%,12.58%,45.00%,50.00%,45.00%,46.67%,2.89%,10.00%,10.00%,5.00%,8.33%,2.89%,10.00%,15.00%,5.00%,10.00%,5.00%,15.00%,10.00%,15.00%,13.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,place_single_bottle_upright,100,45.00%,35.00%,40.00%,40.00%,5.00%,40.00%,35.00%,40.00%,38.33%,2.89%,15.00%,10.00%,15.00%,13.33%,2.89%,10.00%,0.00%,10.00%,6.67%,5.77%,5.00%,10.00%,5.00%,6.67%,2.89%,10.00%,15.00%,10.00%,11.67%,2.89%,25.00%,35.00%,20.00%,26.67%,7.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,place_single_cube,100,60.00%,35.00%,35.00%,43.33%,14.43%,90.00%,95.00%,80.00%,88.33%,7.64%,85.00%,100.00%,90.00%,91.67%,7.64%,20.00%,15.00%,15.00%,16.67%,2.89%,5.00%,0.00%,5.00%,3.33%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,15.00%,10.00%,15.00%,13.33%,2.89%,5.00%,10.00%,5.00%,6.67%,2.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
