task,Qwen3.8-max,Opus-5,GPT-5.6-sol,GPT-5.6-terra,Doubao-seed-2.1-turbo,Gemini-3.6-flash,GPT-5.6-luna,Sonnet-5,Qwen3.7-max,Qwen3.7-plus,MiniMax-M3,MiMo-v2.5
beat_block_hammer_right,3.33,8.33,15.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
click_bell_right,73.33,68.33,65.00,1.67,6.67,13.33,0.00,11.67,0.00,0.00,0.00,0.00
grasp_pen_leaning_cube,61.67,35.00,45.00,25.00,6.67,10.00,18.33,5.00,1.67,3.33,0.00,0.00
grasp_single_bottle,91.67,75.00,76.67,51.67,86.67,38.33,3.33,33.33,1.67,18.33,0.00,0.00
grasp_single_bottle_upright,65.00,78.33,70.00,68.33,48.33,78.33,86.67,40.00,76.67,76.67,46.67,41.67
grasp_single_cube,83.33,83.33,76.67,31.67,10.00,8.33,15.00,16.67,20.00,0.00,10.00,5.00
grasp_single_pen,91.67,63.33,28.33,48.33,26.67,23.33,8.33,1.67,13.33,0.00,0.00,0.00
place_cube_in_bowl,81.67,88.33,85.00,18.33,6.67,5.00,6.67,11.67,0.00,1.67,0.00,0.00
place_cube_on_cube,86.67,78.33,88.33,46.67,8.33,10.00,13.33,0.00,0.00,0.00,0.00,0.00
place_single_bottle_upright,40.00,38.33,13.33,6.67,6.67,11.67,26.67,0.00,0.00,0.00,0.00,0.00
place_single_cube,43.33,88.33,91.67,16.67,3.33,0.00,13.33,6.67,0.00,0.00,0.00,0.00
place_shoe,33.33,35.00,66.67,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00
handover_horizontal_block,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lift_pot,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
